Node Set,Time,Acceleration Ux (m/s^2),Acceleration Uy (m/s^2),Acceleration Uz (m/s^2)
A1-2-1-18,0.0,-0.03541570558426012,-2.4880291200061038,-9.8100004196167
A1-2-1-18,0.00499999988824129,-38.297336315313636,18.853745103170464,33.46452713012695
A1-2-1-18,0.00999999977648258,-13.987332110013952,25.791549461262413,67.44236755371094
A1-2-1-18,0.0149999996647239,26.714457442482555,-15.112740744088747,17.391124725341797
A1-2-1-18,0.0199999995529652,31.990783791790676,-29.16575268920265,-54.38155746459961
A1-2-1-18,0.0249999985098839,40.18738269718672,-26.854886671206685,-128.95867919921875
A1-2-1-18,0.0299999993294477,32.86540820312795,-17.102212357382875,-138.05735778808594
A1-2-1-18,0.0350000001490116,-3.4348823555695764,14.372637166037734,-68.1783676147461
A1-2-1-18,0.0399999991059303,-41.157018908927554,20.663756494935605,49.57492446899414
A1-2-1-18,0.044999998062849,-34.39570153831514,44.49553414201624,127.3765640258789
A1-2-1-18,0.0499999970197678,-55.24558529356512,28.520639892261073,163.2701873779297
A1-2-1-18,0.0549999997019768,-28.283051113144385,3.924381334343522,117.07730102539062
A1-2-1-18,0.0599999986588955,-5.64362397013832,-24.902669434818588,-7.697605609893799
A1-2-1-18,0.0649999976158142,28.22417728513957,-41.92589659832218,-89.6957015991211
A1-2-1-18,0.0700000002980232,27.393902380682373,-18.755312347166644,-81.40515899658203
A1-2-1-18,0.0749999955296516,27.071326951021287,1.3803387388201203,-10.704174041748047
A1-2-1-18,0.0799999982118607,25.082449432503882,22.95579055675517,82.26134490966797
A1-2-1-18,0.0850000008940697,5.406975489976471,17.607632269289052,133.2446746826172
A1-2-1-18,0.0899999961256981,2.8591702866716338,3.624664336683331,68.94917297363281
A1-2-1-18,0.0949999988079071,27.438265857432288,-8.09527919207126,-18.390172958374023
A1-2-1-18,0.0999999940395355,25.149367321327414,-7.754688923228908,-50.692291259765625
A1-2-1-18,0.104999996721745,5.787169701167867,24.493424132771175,-47.65158462524414
A1-2-1-18,0.109999999403954,8.103161171698545,59.45613728284599,21.57500648498535
A1-2-1-18,0.114999994635582,-27.613621005248422,72.72973637183826,123.01941680908203
A1-2-1-18,0.119999997317791,-42.009398304143915,86.2666909247763,178.77735900878906
A1-2-1-18,0.125,-63.46108229805622,44.337515625395156,175.02806091308594
A1-2-1-18,0.129999995231628,-78.72625886620517,41.902260598421094,158.65826416015625
A1-2-1-18,0.134999990463257,-78.22827516921754,40.46951836564189,137.16049194335938
A1-2-1-18,0.140000000596046,-36.751284952805904,17.791317321176837,82.9953384399414
A1-2-1-18,0.144999995827675,-8.500983251135033,13.564675535610109,78.97347259521484
